Employer,City,Zip Code,LWIB Area,Notice Date
"Philosophy, Inc.  ",Phoenix  ,85034  ,5  ,04/17/2015 
"Philosophy, Inc.  ",Phoenix  ,85034  ,5  ,04/17/2015 
Phoenix Children's Hospital  ,Phoenix  ,85016  ,5  ,01/29/2013 
Phoenix Desert Ridege Resort & Spa (JW Marriott)  ,Phoenix  ,85054  ,5  ,06/03/2020 
Phoenix Glendale Renaissance  ,Glendale  ,85305  ,7  ,03/26/2020 
Pima Valve  ,Chandler  ,85226  ,7  ,03/18/2020 
Pineapple Harmany (CPES)  ,Tucson  ,85740  ,6  ,05/18/2020 
Pink Adventure Tours  ,Sedona  ,86336  ,10  ,04/14/2020 
Plastican division of BWAY Corporation  ,Phoenix  ,85009  ,7  ,11/17/2010 
Primary Financial Services  ,Phoenix  ,85013  ,5  ,10/06/2014 
Prospect  ,Phoenix  ,85034  ,7  ,04/09/2020 
"Prospect Enterprises, Inc.  ",Los Angeles  ,90021  ,5  ,04/27/2015 
Pulte Building Services (PBS)  ,Tolleson  ,85353  ,7  ,11/12/2010 
Punch Bowl social  ,Phoenix  ,85004  ,5  ,03/18/2020 
Quality Care Network  ,Phoenix  ,85034  ,5  ,07/28/2015 
RA Kierland Restaurant  ,Scottsdale  ,85254  ,6  ,04/05/2020 
RA Mesa Corp  ,Mesa  ,85204  ,6  ,04/05/2020 
Radisson Suites Hotel Tucson  ,Tucson  ,85710  ,6  ,03/29/2019 
Raytheon  ,Sierra Vista  ,85635  ,1  ,03/28/2019 
Raytheon Company  ,Sierra Vista  ,85635  ,1  ,06/06/2019 
Renaissance Phoenix Downtown Hotel  ,"Phoenix, Arizona  ",85004  ,5  ,06/01/2020 
Renew (CPES)  ,Tucson  ,85740  ,6  ,05/18/2020 
Republic National Distributing Company  ,Phoenix  ,85043  ,7  ,05/27/2011 
Residence Inn/Courtyard Phoenix Downtown  ,Phoenix  ,85004  ,5  ,03/27/2020 
RICOH USA Inc.  ,Malvem  ,19355  ,7  ,09/01/2016 
River Ranch  ,Salinas  ,93901  ,9  ,09/13/2013 
Roadhouse cinemas  ,Tucson  ,85712  ,6  ,03/18/2020 
