ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900604,YKK U.S.A. Inc.,Macon,31217,Bibb,80,10,04/23/2020
GA201900605,BAC Local 8 SE,Atlanta,30312,Fulton,3,3,04/04/2020
GA201900610,Atrium Hospitality,Atlanta,30326,Fulton,145,3,03/12/2020
GA201900612,VMC Specialty Alloys LLC,Adairsville,30103,Bartow,120,1,05/09/2020
GA201900613,Vision Works (Alpharetta),Alpharetta,30022,Fulton,4,3,04/04/2020
GA201900614,Vision Works (Lithonia),Lithonia,30038,Dekalb,9,5,04/04/2020
GA201900615,Vision Works (Tucker),Tucker,30084,Dekalb,6,5,04/04/2020
GA201900616,Vision Works (Duluth),Duluth,30096,Gwinnett,9,7,04/04/2020
GA201900617,Vision Works (Kennesaw),Kennesaw,30144,Cherokee,10,7,04/04/2020
GA201900618,Vision Works (Cumberland Mall-Atlanta),Atlanta,30329,Fulton,6,3,04/04/2020
GA201900619,Vision Works (Buford),Buford,30519,Gwinnett,9,7,04/04/2020
GA201900620,Vision Works (Douglasville),Douglasville,30135,Douglas,12,7,04/04/2020
GA201900621,Vision Works (Fayetteville),Fayetteville,30214,Clayton,10,7,04/04/2020
GA201900622,Vision Works (Snellville),Snellville,30078,Gwinnett,10,7,04/04/2020
GA201900623,Vision Works (Canton),Canton,30114,Cherokee,3,7,04/04/2020
GA201900624,Vision Works (East Point),East Point,30344,Fulton,5,3,04/04/2020
GA201900625,Vision Works (Hiram),Hiram,30141,Paulding,7,1,04/04/2020
GA201900626,Vision Works (McDonough),McDonough,30253,Clayton,7,7,04/04/2020
GA201900627,Vision Works (Newnan),Newnan,30265,Coweta,9,8,04/04/2020
GA201900628,Vision Works (Cumming),Cumming,30041,Forsyth,5,2,04/04/2020
GA201900629,Vision Works (Columbus),Columbus,31909,Muscogee,3,14,04/04/2020
GA201900630,Vision Works (Savannah),Savannah,31406,Chatham,4,20,04/04/2020
GA201900631,Vision Works (Pooler),Pooler,31322,Chatham,6,20,04/04/2020
GA201900632,Vision Works (Warner Robbins),Warner Robbins,31093,Houston,2,11,04/04/2020
GA201900633,Vision Works (Athens),Athens,30606,Clarke,6,9,04/04/2020
GA201900634,Vision Works (August),Augusta,30909,Richmond,4,12,04/04/2020
GA201900635,Vision Works (Gainesville),Gainesville,30501,Hall,8,2,04/04/2020
GA201900636,Vision Works (Peachtree City),Peachtree City,30269,Fayette,3,7,04/04/2020
GA201900637,Vision Works (Macon),Macon,31210,Bibb,5,10,04/04/2020
GA201900638,Vision Works (Cartersville),Cartersville,30121,Bartow,6,1,04/04/2020
GA201900639,Bloomin Brands (Bonefish 1701),St. Simons Island,31522,Glynn,34,20,03/15/2020
GA201900641,Bloomin Brands (Bonefish 1702),Augusta,31522,Richmond,80,12,03/15/2020
GA201900642,Bloomin Brands (Bonefish 1703),Savannah,31405,Chatham,51,20,03/15/2020
GA201900643,Bloomin Brands (Bonefish 1704),Alpharetta,30005,Fulton,44,3,03/15/2020
GA201900644,Bloomin Brands (Bonefish 1705),Macon,31210,Bibb,72,10,03/15/2020
GA201900645,Bloomin Brands (Bonefish 1706),Snellville,30078,Gwinnett,58,7,03/15/2020
GA201900646,Bloomin Brands (Bonefish 1707),Buford,30519,Gwinnett,47,7,03/15/2020
GA201900647,Interfor US Inc,"Eatonton, GA",31024,Putnam,105,11,04/27/2020
GA201900648,Bloomin Brands (Bonefish 1709),Columbus,31909,Muscogee,48,14,03/15/2020
