Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,5/31/2015,Closure,,
Newfield Exploration Company,91,Denver,5/28/2015,Closure,,
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,5/17/2015,Closure,,
Bayou Well Services,250,Weld,5/15/2015,Downsize,,
Sinton Dairy Foods Company/ Borden-Rev to 3/16/15,N/A,Pikes Peak/Teller,5/15/2015,Closure,,
Sinton Dairy Foods Company/ Borden-Rev to 3/16/15,N/A,Pikes Peak/Teller,5/11/2015,Closure,,
Pioneer Natural Resources,75,Denver,5/4/2015,Closure,,
Pioneer Natural Resources - Trinidad,102,Southeast,5/4/2015,Downsize,,
Moneygram Payment Systems Inc. (MPSI),8,Jefferson County,5/2/2015,Closure,,
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,5/1/2015,Closure,,
First Student,150,Mesa,4/30/2015,Closure,,
